,Domain,IP,ASName
90,ssl.gstatic.com54,142.250.81.227,GOOGLE
91,ssl.gstatic.com49,142.250.81.227,GOOGLE
92,signaler-pa.clients6.google.com,142.251.32.106,GOOGLE
93,ssl.gstatic.com25,142.250.81.227,GOOGLE
94,ssl.gstatic.com,142.250.81.227,GOOGLE
95,docs.google.com2,142.250.72.110,GOOGLE
96,ssl.gstatic.com50,142.250.81.227,GOOGLE
97,ssl.gstatic.com32,142.250.81.227,GOOGLE
98,ssl.gstatic.com52,142.250.81.227,GOOGLE
99,ssl.gstatic.com59,142.250.81.227,GOOGLE
100,docs.google.com14,142.250.72.110,GOOGLE
101,docs.google.com3,142.250.72.110,GOOGLE
102,fonts.gstatic.com1,142.250.80.67,GOOGLE
103,ssl.gstatic.com51,142.250.81.227,GOOGLE
104,ssl.gstatic.com6,142.250.81.227,GOOGLE
105,ssl.gstatic.com36,142.250.81.227,GOOGLE
106,ssl.gstatic.com20,142.250.81.227,GOOGLE
107,fonts.googleapis.com,142.250.176.202,GOOGLE
108,ssl.gstatic.com1,142.250.81.227,GOOGLE
109,ssl.gstatic.com58,142.250.81.227,GOOGLE
110,docs.google.com9,142.250.72.110,GOOGLE
111,ssl.gstatic.com28,142.250.81.227,GOOGLE
112,ssl.gstatic.com43,142.250.81.227,GOOGLE
113,ssl.gstatic.com9,142.250.81.227,GOOGLE
114,ssl.gstatic.com16,142.250.81.227,GOOGLE
115,ssl.gstatic.com38,142.250.81.227,GOOGLE
116,play.google.com1,142.250.65.206,GOOGLE
117,clients6.google.com4,142.251.40.238,GOOGLE
118,ssl.gstatic.com13,142.250.81.227,GOOGLE
119,clients6.google.com3,142.251.40.238,GOOGLE
120,play.google.com3,142.250.65.206,GOOGLE
121,docs.google.com10,142.250.72.110,GOOGLE
122,ssl.gstatic.com39,142.250.81.227,GOOGLE
123,ssl.gstatic.com34,142.250.81.227,GOOGLE
124,play.google.com2,142.250.65.206,GOOGLE
125,ssl.gstatic.com53,142.250.81.227,GOOGLE
126,docs.google.com7,142.250.72.110,GOOGLE
127,fonts.gstatic.com5,142.250.80.67,GOOGLE
