OGDomain,SupportingDomain,IPAddr,City,State,Country
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 199.109.107.198, Location: Syracuse, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 199.109.107.70, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 72.14.202.166, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 142.251.65.98, Location: Mariners Harbor, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com9, IP: 142.251.65.95, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com29, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com36, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 199.109.107.198, Location: Syracuse, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 199.109.107.70, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 72.14.202.166, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 142.251.65.98, Location: Mariners Harbor, New York, US
Original Domain: docs.google.com, Querying Domain: docs.google.com2, IP: 142.251.65.95, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com48, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com58, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 199.109.107.198, Location: Syracuse, New York, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 199.109.107.70, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: lh3.google.com, IP: 72.14.202.166, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com53, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 216.239.43.154, Location: Bloomfield, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 192.178.108.18, Location: New York City, New York, US
