index,OGDomain,IPAddr,City,State,Country
110,open.spotify.com,149.43.80.2,Hamilton,New York,US
111,open.spotify.com,10.9.52.10,Unknown,Unknown,Unknown
112,open.spotify.com,172.16.1.11,Unknown,Unknown,Unknown
113,open.spotify.com,199.109.108.41,Rock Hall,Maryland,US
114,open.spotify.com,199.109.107.101,New York City,New York,US
115,open.spotify.com,199.109.107.202,New York City,New York,US
116,open.spotify.com,206.82.104.62,New York City,New York,US
117,chat.openai.com,172.17.0.1,Unknown,Unknown,Unknown
118,chat.openai.com,149.43.80.3,Hamilton,New York,US
119,chat.openai.com,10.9.52.10,Unknown,Unknown,Unknown
120,chat.openai.com,172.16.1.12,Unknown,Unknown,Unknown
121,chat.openai.com,199.109.109.57,Rock Hall,Maryland,US
122,chat.openai.com,199.109.107.198,Syracuse,New York,US
123,chat.openai.com,199.109.107.70,New York City,New York,US
124,chat.openai.com,198.32.160.195,New York City,New York,US
125,chat.openai.com,199.27.132.36,New York City,New York,US
126,gmail.com,172.17.0.1,Unknown,Unknown,Unknown
127,gmail.com,149.43.80.2,Hamilton,New York,US
128,gmail.com,10.9.52.10,Unknown,Unknown,Unknown
129,gmail.com,172.16.1.11,Unknown,Unknown,Unknown
130,gmail.com,199.109.108.41,Rock Hall,Maryland,US
131,gmail.com,199.109.107.101,New York City,New York,US
132,gmail.com,199.109.107.202,New York City,New York,US
133,gmail.com,199.109.114.18,New York City,New York,US
134,gmail.com,142.251.65.92,Bloomfield,New York,US
135,gmail.com,108.170.236.89,Newark,New Jersey,US
136,amazon.com,172.17.0.1,Unknown,Unknown,Unknown
137,amazon.com,149.43.80.2,Hamilton,New York,US
138,amazon.com,10.9.52.10,Unknown,Unknown,Unknown
139,amazon.com,172.16.1.11,Unknown,Unknown,Unknown
140,amazon.com,199.109.108.41,Rock Hall,Maryland,US
141,amazon.com,199.109.107.101,New York City,New York,US
142,amazon.com,199.109.107.202,New York City,New York,US
143,amazon.com,206.82.104.99,Hoboken,New Jersey,US
144,amazon.com,52.93.51.33,New York City,New York,US
145,amazon.com,52.93.1.185,New York City,New York,US
146,amazon.com,52.93.1.40,New York City,New York,US
147,docs.google.com,172.17.0.1,Unknown,Unknown,Unknown
148,docs.google.com,149.43.80.2,Hamilton,New York,US
149,docs.google.com,10.9.52.10,Unknown,Unknown,Unknown
150,docs.google.com,172.16.1.12,Unknown,Unknown,Unknown
151,docs.google.com,199.109.109.57,Rock Hall,Maryland,US
152,docs.google.com,199.109.107.198,Syracuse,New York,US
153,docs.google.com,199.109.107.70,New York City,New York,US
154,docs.google.com,72.14.202.166,New York City,New York,US
155,docs.google.com,142.251.65.100,Jersey City,New Jersey,US
156,docs.google.com,192.178.106.156,New York City,New York,US
157,docs.google.com,142.251.69.66,Newark,New Jersey,US
158,docs.google.com,142.251.69.56,Rahway,New Jersey,US
